Wall time,Step,Value
1751245259.534764,1671168,-35955.96875
1751245261.7614982,1673216,-35565.98828125
1751245265.6784809,1677312,-36108.140625
1751245274.048235,1683456,-35864.24609375
1751245287.147056,1691648,-35781.44921875
1751245293.244001,1697792,-35704.73046875
1751245301.389332,1703936,-35851.9375
1751245303.5479949,1705984,-36096.05859375
1751245312.7268941,1710080,-35834.03515625
1751245317.941273,1714176,-35912.92578125
1751245322.057651,1718272,-36047.62109375
1751245340.199139,1728512,-36110.91796875
1751245347.7436721,1734656,-36120.09375
1751245349.5430038,1736704,-36348.734375
1751245351.376106,1738752,-36124.7109375
1751245359.262135,1744896,-35803.57421875
1751245372.9615119,1757184,-36138.56640625
1751245379.659541,1761280,-35947.33984375
1751245381.6983402,1763328,-36090.53125
1751245383.917184,1765376,-36002.4453125
1751245388.004639,1769472,-35624.28515625
1751245398.689055,1777664,-35540.66015625
1751245404.547293,1781760,-35599.6484375
1751245406.559179,1783808,-35484.90234375
1751245416.270037,1792000,-35346.9609375
1751245418.898805,1794048,-35441.6328125
1751245420.9004018,1796096,-35167.08203125
1751245422.64527,1798144,-34984.87890625
1751245430.077968,1804288,-35666.609375
1751245432.047748,1806336,-35613.56640625
1751245434.00449,1808384,-35737.05078125
1751245440.1441762,1812480,-35751.72265625
1751245446.454582,1818624,-35885.859375
1751245451.8654752,1822720,-35441.35546875
1751245453.951915,1824768,-35452.69140625
1751245457.6362,1828864,-35460.09375
1751245461.2192729,1830912,-35357.85546875
1751245466.815008,1837056,-35570.078125
1751245474.24443,1843200,-35731.79296875
1751245476.119307,1845248,-35550.09765625
1751245495.737634,1859584,-35772.11328125
1751245501.2287831,1861632,-35651.78515625
1751245506.163764,1863680,-35561.7265625
1751245510.115102,1865728,-35795.78515625
1751245520.54294,1869824,-35462.65625
1751245525.4432662,1871872,-35555.6171875
1751245535.792824,1875968,-35384.5859375
1751245540.034851,1878016,-35308.234375
1751245546.3281438,1880064,-35444.08984375
1751245555.292342,1886208,-35297.00390625
1751245558.37307,1888256,-35374.91015625
1751245562.7183812,1890304,-35218.21484375
1751245565.202594,1892352,-35379.8359375
1751245570.383447,1896448,-35439.7734375
1751245586.81292,1908736,-35824.296875
1751245591.834506,1910784,-36068.05859375
1751245598.866236,1916928,-35796.68359375
1751245621.725556,1931264,-36262.2421875
1751245628.904585,1937408,-36147.4609375
1751245650.661731,1951744,-36258.4765625
1751245653.0994408,1953792,-36260.65234375
1751245655.769896,1955840,-36464.21875
1751245660.258058,1959936,-36780.65625
1751245665.693583,1961984,-36332.765625
1751245667.919444,1964032,-36575.32421875
1751245679.3592808,1970176,-36968.625
1751245682.030997,1972224,-36953.71875
1751245687.1831381,1976320,-36798.57421875
1751245694.8747818,1980416,-36117.7578125
1751245697.882947,1982464,-36166.109375
1751245709.709525,1990656,-35691.00390625
1751245711.766176,1992704,-35843.01953125
1751245722.5801868,2000896,-35799.51953125
1751245724.749461,2002944,-35682.0546875
1751245727.021794,2004992,-35477.79296875
1751245728.9402251,2007040,-35341.41796875
1751245737.4623759,2013184,-34736.12890625
1751245739.507763,2015232,-34792.41796875
1751245741.558254,2017280,-34733.41015625
